degree_category,institution,comment,degree
Ambiguous,Honors and Awards,"2007 Silver MarketingSherpa Email Campaign 
2008 Gold MarketingSherpa Email Campaign
2010 SEO Training Acadmey Certificate Awarded
2010 Silver W3 Award for Website Development
2011 Gold MarCom Award for Interactive Website
2012 Gold MarCom Award for Marketing Specialty Website",Honors and Awards
Ambiguous,University of Memphis,,Journalism
Ambiguous,South Hennepin Tech,Intense 2 year program with 3 professors that had been in the industry for 25 years or more.  An awesome experience.,Advertising
Ambiguous,University of California Berkeley,,Political Science legal studies
Ambiguous,University of Miami,,English - Creative Writing
Ambiguous,Aquent,"Coding for Designers
    Html, CSS, Bootstrap and Mobile Apps",Certification
Ambiguous,Edmonds Community College,,Internet Security
Ambiguous,Louisiana State University,,Computer Engineering
Ambiguous,The Portfolio Center,Studied Commercial Photography with an emphasis on table-top still life.,Not a Degree Program
Ambiguous,The Portfolio Center,Studied Commercial Photography with an emphasis on table-top still life.,Not a Degree Program
Ambiguous,The University of Wisconsin-Green Bay,,Creative Writing
Ambiguous,Woodland Community College,GE for transfer.  ,General Education for transfer
Ambiguous,Texas A&M University,,Business Honors
Ambiguous,St Mary's University,,Software Engineer
Ambiguous,Rutgers University,,Biology
Ambiguous,Oregon State University,,Environmental Chemistry
Ambiguous,Kutztown University of Pennsylvania ,"Graduated at the top of my class with dual concentrations in Advertising and Graphic Design. Also, dual majored in Art Education. ",Communication Design 
Ambiguous,Kutztown University of Pennsylvania ,"Graduated at the top of my class with dual concentrations in Advertising and Graphic Design. Also, dual majored in Art Education. ",Communication Design 
Ambiguous,DeVry University,,EET
Ambiguous,Elon University,,Communications
Ambiguous,The Acting Studio,,Voiceover Training
Ambiguous,Rasmussen College,,Web Design
Ambiguous,Washington College,,American Studies
Ambiguous,University of Kentucky,,NA
Ambiguous,Northeastern University,,Computer Engineering Technology
Ambiguous,University of Texas at San Antonio,Major in Marketing,Business
Ambiguous,Stevens Institute of Technology,,MIS
Ambiguous,Randolph-Macon College,,"International Studies, Journalism"
Ambiguous,The University of West Georgia,,Mass Communications
Ambiguous,"James Madison College, Michigan State University ","James Madison College is an honors college at Michigan State University, which enables students to acquire intensive training in writing from renowned professors on difficult academic topics.  I graduated with Honors, from this 2005 class as a phi beta kappa student.

",Political Theory & Constitutional Democracy
Ambiguous,University of Phoenix ,,Business Management 
Ambiguous,VIP School Inc,,Medical Administrative Assistant Dipolma
Ambiguous,University of South Florida,,Please select ...
Ambiguous,University of London,,Please select ...
Ambiguous,Lebanon Valley College,"Degree in recording technology with a concentration in music. Taught signal flow, analog & digital systems, pro tools, radar, and logic platforms. Music lessons and classes taught to supplement the degree. ",Music Recording Technology
Ambiguous,IVY Tech,,Business Management Accounting Major
Ambiguous,Southern Utah University,,English
Ambiguous,AB Tech,"I am working towards an associates degree in nursing and will finish in May, 2012.",Registered Nursing - Present
Ambiguous,University of Phoenix,"I attended the University of Phoenix to complete a degree in Business Management, but I transfered after two years to a community college  to become a nurse.",Business Management - Transfered
Ambiguous,Musician's Institute Los Angeles,"Musicians Institute offers a full line of book, book/audio and video music instruction titles from MI Press written by MI instructors through an exclusive arrangement with Hal Leonard Corporation, the world’s largest print music publisher.
MI Press presents techniques, concepts, examples and styles taught in classes at Musicians Institute by the authors themselves. The presentation reflects MI’s educational philosophy of focused concepts linked directly to practical application.",Music Degree
Ambiguous,"American Writers and Artists, Inc.","American Writers and Artists, Inc. is the world's leading publisher of direct-response copywriting courses. I have completed several of their programs including the Accelerated and Masters copywriting programs, the Lead-Gen Specialist and B2B copywriting Courses. I have also participated in a Copywriting Bootcamp and an online copywriting home study program.",Copywriting courses
Ambiguous,Fundacion Autonoma de Las Americas,"Degree obtained in Colombia
Equivalent in USA: Bachelor's Degree in Business Administration",Administrador de Negocios Internacionales 
Ambiguous,Winthrop University,,Dietetic Internship
Ambiguous,Marist College,,Majored in Psychology
Ambiguous,Southwestern Assemblies of God University,,Counseling Psychology
Ambiguous,University of Illinois,,Computer Science
Ambiguous,Mountain State University,,Computer Science
Ambiguous,Shawnee State University,,Computer Engineering
Ambiguous,Doherty High School,"Vocational Graphic Arts: 3 Years
Creative Writing: 3 Years",Graduated
Ambiguous,North Arundel Vocational Center,,Licensed Practical Nurse
Ambiguous,Rochester Community & Technical College,"BTEC 1600, Introduction to Medical Terminology, 2 cr
BTEC 1650, Quality Issues for Medical Transcription, 2 cr
BTEC 1670, Medical Transcription I, 3 cr
BTEC 1680, Medical Transcription II, 3 cr
HIMC 2620, Pathophysiology and Pharmacology I, 3 cr
HIMC 2630, Pathophysiology and Pharmacology II, 3 cr
BTEC 1001, Computer Online Learning, 1 cr",Medical Transcription- No Degree
Ambiguous,Ridgewater College,"AVT	1112		Intro to Console Operations	3 
AVT	1201		Introduction to Acoustics	3 
AVT	1350		Introduction to Sound Reinforcement	3 
AVT	1601		Introduction to Audio	3 
AVT	1602		Soldering and Cable Assembly	1 
MSET	1815		DC Circuits	3 
MSET	1816		AC Circuits	4 
GSWS	1422		Quality Management	2 
",Audio Technology-No Degree
Ambiguous,Hofstra University,I graduated from Hostra University with honors in English Literature.,English Literature
Ambiguous,George Washington University,,Law degree
Ambiguous,Northwood University,,International Business
Ambiguous,Wirtschaftsgymnasium Stuttgart-Ost,,Abitur
Ambiguous,University of Washington,,Localization Project Management
Ambiguous,Musician's Institute,Left to take on an intership with MCA Records/Universal Studios,Keyboard Certification
Ambiguous,Los Angeles Recording Workshop,Graduated with honors and was hired by the school as an Instructing Assistant for a short period of time.,Audio and Video Production
Ambiguous,Temple University,,"Marketing Communications, 1993"
Ambiguous,Angelo State University,,Criminal Justice/Government
Ambiguous,Angelo State University,,Criminal Justice/Government
Ambiguous,Angelo State University,,Criminal Justice/Government
Ambiguous,University of Nevada-Las Vegas,18 Semester Hours,Graduate Studies
Ambiguous,Florida State College of Jacksonville (2009),,Continuing Studies
Ambiguous,DeVry University,,Multimedia Design & Development
Ambiguous,"Nottingham University, England","I studied abroad in England for one year. I took classes in history, literature, writing, and French. I also traveled extensively.",English studies
Ambiguous,Miami University of Ohio,,English - Journalism
Ambiguous,3D Academy,"- Introduction to HTML, CSS, JS.
- Creating and designing WEB pages.
- Foundation makeup.",WEB Design
Ambiguous,3D Academy,"- Interior Design.
- Raster graphics.
- Vector Graphic.
- 3D Graphics.
- 3ds Max / AutoCad.",Interior Design
Ambiguous,Institute of Audio Research,,Certified Audio Engineer
Ambiguous,National Foreign Affairs Training Center,,Electronic Media
Ambiguous,National Foreign Affairs Training Center,,Speechwriting and Presentation
Ambiguous,National Foreign Affairs Training Center,,The Role of the Spokesperson
Ambiguous,National Foreign Affairs Training Center,,Administering a Public Affairs Program
Ambiguous,New York University,Course in progress.,Fundamentals of Copyediting and Proofreading Books
Ambiguous,NE London Uni,,Degree in Photography
Ambiguous,"Lorenzo di Medici, Florence, Italy",,Classes in Photography and Design
Ambiguous,Michigan State University,,Journalism
Ambiguous,MJM Graphic Design Paris,,Professional degree in Graphic Design
Ambiguous,Universite Paris III - Sorbonne Nouvelle,,DEUG Performing Arts - Cinema
Ambiguous,Royal Melbourne Institute of Technology,,Study Abroad: Studio & Documentary Photography
Ambiguous,Full Sail University,,Film & Video Production
Ambiguous,Austin Community College,,Commercial Photography
Ambiguous,Full Sail University,Currently Attending,Web Design and Development
Ambiguous,Florida International University,,Computer Science Bachelars of Science
Ambiguous,National Merit Scholarship Corporation,,National Merit Scholar
Ambiguous,Western Kentucky University,"I have a Bachelor's in English with an emphasis on Creative Writing, and a minor in Psychology.",English
Ambiguous,University of Southern California,,Health Promotion and Disease Prevention Studies
Ambiguous,Rensselaer Polytechnic Institute,,Information Technology and Web Sciences
Ambiguous,Academy of Art San Francisco,,Fine Arts Photography
Ambiguous,Towson State University,,"Computer Science, Geography"
Ambiguous,Life Soulutions -Life Mastery Institute,"As a DreamBuilder Coach, Lynne integrates her years of business experience with coaching business owners, management teams and individuals who are ready for change and ready to step up the level of success in their lives.  Through proven DreamBuilder and Life coaching processes, Lynne shows those she partner?s with how to blueprint and build successful lives.  A favorite quote: ?Success is not measured by the things we acquire; it is measured by how happy we are.?",Certified DreamBuilder Coach
Ambiguous,Pontificia Universidad Javeriana,Service Location Protocol: Implementation and Evaluation (C++),Electronic Engineer
Ambiguous,Parkland College,,Digital Media - 3D Computer Animation
Ambiguous,Sacramento State University,,Communications-New Media
Ambiguous,Voicetrax Academy,"Voiceover talent instruction, San Francisco Bay Area
Samantha Paris
Bob Bergen
Thom Pinto 
Cynthia Songe
Bob Symons",Voiceover Excellence
Ambiguous,South University,,Information Technology
Ambiguous,Grays Harbor College,,Communications
Ambiguous,Western Michigan University,"I received a BA in English: Creative Writing with a minor in Journalism at Western Michigan University.  I studied and wrote short stories, poems, nonfiction essays, and news articles.  In addition, I wrote and helped to produce a short play as well as working on a writing team to create an episodic stage production.  I was an intern at WMUK a NPR station in Kalamazoo where I worked to interview subjects and create news clips for broadcast.  I was also a DJ at the college radio station,",English:  Creative Writing
Ambiguous,"University of Massachusetts, Amherst","Thesis:  ?Socializing Behaviors, Habit, and the Theory of Planned Behavior.?

PSYCHOLOGY	Research Methods in Psychology	Amherst, MA
TEACHING	University of Massachusetts	2001-2002
EXPERIENCE :	Taught three semesters of junior-level undergraduate laboratory course in research psychology.  Each semester included four research projects, collection of data, statistical analyses, and summary paper.  Statistical topics included reliability, validity, research methodology, Chi-square, and ANOVA.

Roots",Graduate work in Social & Personality Psychology
Ambiguous,College of DuPage,,Marketing 
Ambiguous,Central Bible College,,Biblical Studies
Ambiguous,UNIVERSITY OF SOUTH FLORIDA ,,Management Information Systems
Ambiguous,UNIVERSITY OF SOUTH FLORIDA ,,FINANCE
Ambiguous,Rowan University,,Biomedical Science
Ambiguous,Rochester Institute of Technology,,Biology
Ambiguous,Victory High School,"Clarksburg, WV",Graduated 12 grade
Ambiguous,Norwalk Community College,,Fund Accounting and Quickbooks Classes
Ambiguous,University of Bridgeport,,Finance and Management Information Systems
Ambiguous,University of Maryland Baltimore County ,,Information Systems Management
Ambiguous,College of the Redwoods,,Computer Science
Ambiguous,Stephen F. Austin State University,"Finished degree while working to enhance abilities.
Graduated Summa Cum Laude","Speech Communications, Major; Marketing, Minor"
Ambiguous,Palm Beach Atlantic University,,International Business
Ambiguous,New York University,,French-English Translation Certification
Ambiguous,New York University,,French-English Translation Certification
Ambiguous,"Academy of Art, San Francisco",Graphic Design Classes,Graphic Design Classes
Ambiguous,"UC Berkeley Extension, San Francisco",Continuing Education in Computer Graphic Programs,Continuing Education in Computer Graphic Programs
Ambiguous,Marshall University,,Broadcasting
Ambiguous,National University,,Corporate and International Finance
Ambiguous,National University,,Software Engineering
Ambiguous,The Ohio State University,,Statistics
Ambiguous,The Ohio State University,,Physics
Ambiguous, The Ohio State University,,Mathematics
Ambiguous,Gdynia Martime Academy,,Marine Propulsion Engineer
Ambiguous,San Diego State University,,Construction Supervision and Mangement - Certifica
Ambiguous,Odessa State Academy of Civil Eng & Architecture,,attended
Ambiguous,Monroe Community College,"Graphic Design, Film Making, Photography, Printing and more",Communications Technology
Ambiguous,Nova Scotia Teachers College,,Industrial Technical Education
Ambiguous,"University of California-Berkeley, California",,Social and Cultural Anthropology
Ambiguous,"Duke University,  Durham, North Carolina",,Social and Cultural Anthropology
Ambiguous,Amsterdam University of Applied Sciences,,Communication and Multimedia Design
Ambiguous,ROC Van Amsterdam,"Covered: Photoshop, Illustrator, InDesign, Adobe Premiere Pro, Adobe After Effects and Final Cut Pro.",Multimedia and Graphic Design
None,University of Arizona,Attended U of A for 1 year.,None.
None,Yavapai College,Attended part time for 2 years.,None.
None,Brevard Community College,Music Major - Voice Major Piano Minor,none
None,University of Alabama at Birmingham,Studied developmental psychology and worked in Dr. Fred Biasini's lab studying computer-assisted technology that helped teach children with autism how to understand and better read facial expressions and emotions. Also worked under Dr. Rajesh Kana in a study analyzing individuals with autism's ability to understand non-literal language.,none
None,West Los Angeles College,"There was no degree awarded, I transferred to UCLA.",None
None,Rouxbe Cooking School,"""The Rouxbe Cooking School was founded by two professional chefs in 2005 and was developed in partnership with Northwest Culinary Academy - an accredited culinary school. The Rouxbe Cooking School is now being used by home cooks in over 200 countries and by culinary schools and instructors around the world."" (quote from Rouxbe's website) ",none yet
